StationID,Network,StationName,StationName,City,County,State,Latitude,Longitude,StartYear,EndYear,Frequency,LULC (Site),Depths,Depth1(cm),PercentSand1,PercentSilt1,PercentClay1,SoilType1,SaturatedHydraulicConductivity1(microM/sec),BulkDensity1(g/cc),Depth1Probe1A,Depth1Probe1AStartMonth,Depth1Probe1AStartDay,Depth1Probe1AStartYear,Depth1Probe1AEndMonth,Depth1Probe1AEndDay,Depth1Probe1AEndYear,Depth1Probe1B,Depth1Probe1BStartMonth,Depth1Probe1BStartDay,Depth1Probe1BStartYear,Depth1Probe1BEndMonth,Depth1Probe1BEndDay,Depth1Probe1BEndYear,Depth2(cm),PercentSand2,PercentSilt2,PercentClay2,SoilType2,SaturatedHydraulicConductivity2(microM/sec)2,BulkDensity2(g/cc),Depth2Probe1A,Depth2Probe1AStartMonth,Depth2Probe1AStartDay,Depth2Probe1AStartYear,Depth2Probe1AEndMonth,Depth2Probe1AEndDay,Depth2Probe1AEndYear,Depth2Probe1B,Depth2Probe1BStartMonth,Depth2Probe1BStartDay,Depth2Probe1BStartYear,Depth2Probe1BEndMonth,Depth2Probe1BEndDay,Depth2Probe1BEndYear,Depth3(cm),PercentSand3,PercentSilt3,PercentClay3,SoilType3,SaturatedHydraulicConductivity3(microM/sec),BulkDensity3(g/cc),Depth3Probe1A,Depth3Probe1AStartMonth,Depth3Probe1AStartDay,Depth3Probe1AStartYear,Depth3Probe1AEndMonth,Depth3Probe1AEndDay,Depth3Probe1AEndYear,Depth3Probe1B,Depth3Probe1BStartMonth,Depth3Probe1BStartDay,Depth3Probe1BStartYear,Depth3Probe1BEndMonth,Depth3Probe1BEndDay,Depth3Probe1BEndYear,Depth4(cm),PercentSand4,PercentSilt4,PercentClay4,SoilType4,SaturatedHydraulicConductivity4(microM/sec),BulkDensity4(g/cc),Depth4Probe1A,Depth4Probe1AStartMonth,Depth4Probe1AStartDay,Depth4Probe1AStartYear,Depth4Probe1AEndMonth,Depth4Probe1AEndDay,Depth4Probe1AEndYear,Depth4Probe1B,Depth4Probe1BStartMonth,Depth4Probe1BStartDay,Depth4Probe1BStartYear,Depth4Probe1BEndMonth,Depth4Probe1BEndDay,Depth4Probe1BEndYear,Depth5(cm),PercentSand5,PercentSilt5,PercentClay5,SoilType5,SaturatedHydraulicConductivity5(microM/sec),BulkDensity5(g/cc),Depth5Probe1A,Depth5Probe1AStartMonth,Depth5Probe1AStartDay,Depth5Probe1AStartYear,Depth5Probe1AEndMonth,Depth5Probe1AEndDay,Depth5Probe1AEndYear,Depth6(cm),PercentSand6,PercentSilt6,PercentClay6,SoilType6,SaturatedHydraulicConductivity6(microM/sec),BulkDensity6(g/cc),Depth6Probe1A,Depth6Probe1AStartMonth,Depth6Probe1AStartDay,Depth6Probe1AStartYear,Depth6Probe1AEndMonth,Depth6Probe1AEndDay,Depth6Probe1AEndYear,Depth7(cm),PercentSand7,PercentSilt7,PercentClay7,SoilType7,SaturatedHydraulicConductivity7(microM/sec),BulkDensity7(g/cc),Depth7Probe1A,Depth7Probe1AStartMonth,Depth7Probe1AStartDay,Depth7Probe1AStartYear,Depth7Probe1AEndMonth,Depth7Probe1AEndDay,Depth7Probe1AEndYear,Depth8(cm),PercentSand8,PercentSilt8,PercentClay8,SoilType8,SaturatedHydraulicConductivity8(microM/sec),BulkDensity8(g/cc),Depth8Probe1A,Depth8Probe1AStartMonth,Depth8Probe1AStartDay,Depth8Probe1AStartYear,Depth8Probe1AEndMonth,Depth8Probe1AEndDay,Depth8Probe1AEndYear,Elevation(ft),SoilPolygon,Notes
0020110112,West Texas Mesonet,Dimmitt2NE,Dimmit,Dimmit,Castro,Texas,34.57,-102.29,2001,2010,Daily,71,4,5,22.1,27.9,50,Clay,0.00-0.42,1.20-1.40,Campbell Scientific CS615 and CS616 water content reflectometer,10,,2001,,,2012,,,,,,,,20,22.1,27.9,50,Clay,0.00-0.42,1.20-1.40,Campbell Scientific CS615 and CS616 water content reflectometer,10,,2001,,,2012,,,,,,,,60,22.1,27.9,50,Clay,0.00-0.42,1.25-1.40,Campbell Scientific CS615 and CS616 water content reflectometer,10,,2001,,,2012,,,,,,,,75,22.1,27.9,50,Clay,0.00-0.42,1.25-1.40,Campbell Scientific CS615 and CS616 water content reflectometer,10,,2001,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3876,s7573,Soil metadata taken from SSURGO. Soil textures taken from USDA soil texture triangle
0020120812,West Texas Mesonet,DoraNM2SW,Dora,Dora,Roosevelt,New Mexico,33.92,-103.36,2001,2010,Daily,31,4,5,36.7,34.8,28.5,Clay Loam,4.23-14.11,1.25-1.45,Campbell Scientific CS615 and CS616 water content reflectometer,3,,2008,,,2012,,,,,,,,20,36.7,34.8,28.5,Clay Loam,4.23-14.11,1.25-1.45,Campbell Scientific CS615 and CS616 water content reflectometer,3,,2008,,,2012,,,,,,,,60,36.7,34.8,28.5,Clay Loam,1.41-4.23,1.25-1.55,Campbell Scientific CS615 and CS616 water content reflectometer,3,,2008,,,2012,,,,,,,,75,36.7,34.8,28.5,Clay Loam,1.41-4.23,1.25-1.55,Campbell Scientific CS615 and CS616 water content reflectometer,3,,2008,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4340,s5371,Soil metadata taken from SSURGO. Soil textures taken from USDA soil texture triangle
0020130112,West Texas Mesonet,Floydada2NNE,Floydada,Floydada,Floyd,Texas,34.00,-101.33,2001,2010,Daily,71,4,5,22.1,27.9,50,Clay,0.00-0.42,1.20-1.40,Campbell Scientific CS615 and CS616 water content reflectometer,3,,2001,,,2012,,,,,,,,20,22.1,27.9,50,Clay,0.00-0.42,1.20-1.40,Campbell Scientific CS615 and CS616 water content reflectometer,3,,2001,,,2012,,,,,,,,60,22.1,27.9,50,Clay,0.00-0.42,1.25-1.40,Campbell Scientific CS615 and CS616 water content reflectometer,3,,2001,,,2012,,,,,,,,75,22.1,27.9,50,Clay,0.00-0.42,1.25-1.40,Campbell Scientific CS615 and CS616 water content reflectometer,3,,2001,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3179,s7573,Soil metadata taken from SSURGO. Soil textures taken from USDA soil texture triangle
0020140212,West Texas Mesonet,Fluvanna3WNW,Fluvanna,Fluvanna,Borden,Texas,32.90,-101.20,2001,2010,Daily,71,4,5,37.9,35.6,26.5,Loam,4.23-14.11,1.35-1.55,Campbell Scientific CS615 and CS616 water content reflectometer,7,,2002,,,2012,,,,,,,,20,37.9,35.6,26.5,Loam,4.23-14.11,1.35-1.55,Campbell Scientific CS615 and CS616 water content reflectometer,7,,2002,,,2012,,,,,,,,60,37.9,35.6,26.5,Loam,4.23-42.34,1.40-1.65,Campbell Scientific CS615 and CS616 water content reflectometer,7,,2002,,,2012,,,,,,,,75,37.9,35.6,26.5,Loam,4.23-42.34,1.40-1.65,Campbell Scientific CS615 and CS616 water content reflectometer,7,,2002,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2707,s7567,Soil metadata taken from SSURGO. Soil textures taken from USDA soil texture triangle
0020150112,West Texas Mesonet,Friona2NE,Friona,Friona,Parmer,Texas,34.65,-102.69,2001,2010,Daily,71,4,5,34.2,37.3,28.5,Clay Loam,4.23-14.11,1.25-1.45,Campbell Scientific CS615 and CS616 water content reflectometer,9,,2001,,,2012,,,,,,,,20,34.2,37.3,28.5,Clay Loam,4.23-14.11,1.25-1.45,Campbell Scientific CS615 and CS616 water content reflectometer,9,,2001,,,2012,,,,,,,,60,34.2,37.3,28.5,Clay Loam,1.41-4.23,1.25-1.55,Campbell Scientific CS615 and CS616 water content reflectometer,9,,2001,,,2012,,,,,,,,75,34.2,37.3,28.5,Clay Loam,1.41-4.23,1.25-1.55,Campbell Scientific CS615 and CS616 water content reflectometer,9,,2001,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4005,s7511,Soil metadata taken from SSURGO. Soil textures taken from USDA soil texture triangle
0020160112,West Texas Mesonet,Gail2ESE,Gail,Gail,Borden,Texas,32.76,-101.41,2001,2010,Daily,71,4,5,41.6,37.4,21,Loam,4.23-14.11,1.40-1.55,Campbell Scientific CS615 and CS616 water content reflectometer,11,,2001,,,2012,,,,,,,,20,41.6,37.4,21,Loam,4.23-14.11,1.40-1.55,Campbell Scientific CS615 and CS616 water content reflectometer,11,,2001,,,2012,,,,,,,,60,41.6,37.4,21,Loam,4.23-14.11,1.40-1.55,Campbell Scientific CS615 and CS616 water content reflectometer,11,,2001,,,2012,,,,,,,,75,41.6,37.4,21,Loam,4.23-14.11,1.40-1.55,Campbell Scientific CS615 and CS616 water content reflectometer,11,,2001,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2547,s7228,Soil metadata taken from SSURGO. Soil textures taken from USDA soil texture triangle
0020170512,West Texas Mesonet,Goodlett3W,Goodlett,Goodlett,Hardeman,Texas,34.34,-99.94,2001,2010,Daily,31,4,5,35.4,33.6,31,Clay Loam,1.41-4.23,1.30-1.45,Campbell Scientific CS615 and CS616 water content reflectometer,1,,2005,,,2012,,,,,,,,20,35.4,33.6,31,Loam,0.42-1.41,1.45-1.65,Campbell Scientific CS615 and CS616 water content reflectometer,1,,2005,,,2012,,,,,,,,60,35.4,33.6,31,Loam,0.42-1.41,1.45-1.65,Campbell Scientific CS615 and CS616 water content reflectometer,1,,2005,,,2012,,,,,,,,75,35.4,33.6,31,Loam,0.42-1.41,1.45-1.65,Campbell Scientific CS615 and CS616 water content reflectometer,1,,2005,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644,s7679,Soil metadata taken from SSURGO. Soil textures taken from USDA soil texture triangle
0020180212,West Texas Mesonet,Guthrie10WSW,Guthrie (Pitchfork Ranch),Guthrie,King,Texas,33.57,-100.48,2001,2010,Daily,71,4,5,41,41.5,17.5,Loam,4.23-14.11,1.35-1.55,Campbell Scientific CS615 and CS616 water content reflectometer,12,,2002,,,2012,,,,,,,,20,41,41.5,17.5,Loam,4.23-14.11,1.35-1.55,Campbell Scientific CS615 and CS616 water content reflectometer,12,,2002,,,2012,,,,,,,,60,41,41.5,17.5,Loam,4.23-14.11,1.40-1.60,Campbell Scientific CS615 and CS616 water content reflectometer,12,,2002,,,2012,,,,,,,,75,41,41.5,17.5,Loam,4.23-14.11,1.40-1.60,Campbell Scientific CS615 and CS616 water content reflectometer,12,,2002,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,s7237,Soil metadata taken from SSURGO. Soil textures taken from USDA soil texture triangle
0020190112,West Texas Mesonet,Hart3N,Hart,Hart,Castro,Texas,34.42,-102.11,2001,2010,Daily,71,4,5,34.2,37.3,28.5,Clay Loam,4.23-14.11,1.25-1.45,Campbell Scientific CS615 and CS616 water content reflectometer,9,,2001,,,2012,,,,,,,,20,34.2,37.3,28.5,Clay Loam,4.23-14.11,1.25-1.45,Campbell Scientific CS615 and CS616 water content reflectometer,9,,2001,,,2012,,,,,,,,60,34.2,37.3,28.5,Clay Loam,1.41-4.23,1.25-1.55,Campbell Scientific CS615 and CS616 water content reflectometer,9,,2001,,,2012,,,,,,,,75,34.2,37.3,28.5,Clay Loam,1.41-4.23,1.25-1.55,Campbell Scientific CS615 and CS616 water content reflectometer,9,,2001,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3694,s7511,Soil metadata taken from SSURGO. Soil textures taken from USDA soil texture triangle
0020200412,West Texas Mesonet,Hereford2NW,Hereford,Hereford,Deaf Smith,Texas,34.83,-102.42,2001,2010,Daily,71,4,5,34.2,32.3,33.5,Clay Loam,1.41-4.23,1.25-1.40,Campbell Scientific CS615 and CS616 water content reflectometer,9,,2004,,,2012,,,,,,,,20,34.2,32.3,33.5,Clay Loam,0.42-1.41,1.30-1.55,Campbell Scientific CS615 and CS616 water content reflectometer,9,,2004,,,2012,,,,,,,,60,34.2,32.3,33.5,Clay Loam,0.42-1.41,1.30-1.55,Campbell Scientific CS615 and CS616 water content reflectometer,9,,2004,,,2012,,,,,,,,75,34.2,32.3,33.5,Clay Loam,0.42-1.41,1.30-1.55,Campbell Scientific CS615 and CS616 water content reflectometer,9,,2004,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3863,s7571,Soil metadata taken from SSURGO. Soil textures taken from USDA soil texture triangle
