Aspermont3NE,5,6,-20.92,28.89,-19.29,8.75,-0.89
Aspermont3NE,5,7,46.71,-58.89,19.89,1.54,-0.36
Aspermont3NE,5,8,59.74,-57.28,7.61,6.33,-0.68
Aspermont3NE,5,9,67.05,-78.89,25.95,0.74,-0.24
Aspermont3NE,5,10,42.64,-59.76,23.25,0.43,-0.22
Aspermont3NE,5,11,32.85,-43.49,14.4,1.98,-0.23
Aspermont3NE,5,12,-193.89,221.19,-89.02,17.61,-1.03
BigLake1WNW,5,1,2466.8,-2392.7,821.18,-111.54,5.16
BigLake1WNW,5,2,5396.4,-4402.3,1268.7,-144.66,5.44
BigLake1WNW,5,3,-5236.9,5235.9,-1931.4,313.03,-18.06
BigLake1WNW,5,4,-6408.4,5449.2,-1683.2,227.4,-10.88
BigLake1WNW,5,5,-171.25,170.3,-63.49,13.82,-0.87
BigLake1WNW,5,6,-143.33,262.37,-161.78,42.76,-3.29
BigLake1WNW,5,7,86.81,-59.04,-7.77,11.72,-1.04
BigLake1WNW,5,8,-783.71,918.65,-402.53,78.68,-4.86
BigLake1WNW,5,9,-878.09,948.33,-377.18,66.96,-3.74
BigLake1WNW,5,10,3660.3,-3155.8,947.15,-109.43,4.12
BigLake1WNW,5,11,-5188.9,4885.9,-1700,261.28,-14.24
BigLake1WNW,5,12,-6612.4,4944.6,-1356.8,168,-7.61
Bootleg11WNW,5,1,9159.6,-7493.2,2174.5,-256.73,10.55
Bootleg11WNW,5,2,2245.2,-1145.2,108.45,25.93,-3.36
Bootleg11WNW,5,3,-6320,5627.5,-1799.3,247.25,-12.01
Bootleg11WNW,5,4,-5816.6,4470.5,-1268.6,161.45,-7.23
Bootleg11WNW,5,5,-1361.7,1477.9,-564.45,90.23,-4.46
Bootleg11WNW,5,6,107.82,-167.4,84.85,-13.37,0.65
Bootleg11WNW,5,7,-263.95,342.59,-166.39,38.11,-2.85
Bootleg11WNW,5,8,-798.51,1050.6,-500.01,102.82,-6.91
Bootleg11WNW,5,9,-197.59,241.56,-109.12,24.94,-1.83
Bootleg11WNW,5,10,-2719.3,2416.1,-763.9,104.68,-4.94
Bootleg11WNW,5,11,-8282.3,4917.9,-1066.6,108.1,-4.16
Bootleg11WNW,5,12,-42138,31288,-8715.5,1085.1,-50.34
Brownfield2S,5,1,62877,-52407,16029,-2117.4,101.76
Brownfield2S,5,2,55432,-45833,13936,-1835.4,88.44
Brownfield2S,5,3,31392,-24701,7108.9,-876.2,39.11
Brownfield2S,5,4,1845.5,-631.09,-162.39,86.08,-7.74
Brownfield2S,5,5,-3508.6,3167.1,-1078.3,168.68,-9.6
Brownfield2S,5,6,6161.1,-4994.7,1433.7,-164.58,6.47
Brownfield2S,5,7,-879.29,937.54,-374.72,70.23,-4.41
Brownfield2S,5,8,36926,-24970,6089.9,-623.75,22.78
Brownfield2S,5,9,-2374.6,2186,-758.06,120.96,-6.79
Brownfield2S,5,10,-442.4,502.53,-237.09,54.73,-4
Brownfield2S,5,11,-65729,50123,-14176,1769.9,-81.98
Brownfield2S,5,12,-23663,15109,-3492.5,354.86,-13.47
Canadian6E,5,1,67574,-26880,3762.9,-205.36,3.83
Canadian6E,5,2,-65167,21663,-2452.3,120.04,-2.15
Canadian6E,5,3,-83629,30723,-3998,229.18,-4.86
Canadian6E,5,4,17090,-9397.4,1767.8,-124.84,3
Canadian6E,5,5,-5745.1,3013.6,-602.75,60.53,-1.86
Canadian6E,5,6,1750.7,-1721.7,393.63,-22.12,0.38
Canadian6E,5,7,-23579,9955.6,-1501.7,101.18,-2.05
Canadian6E,5,8,-5201.2,2311.1,-429.65,43.29,-1.01
Canadian6E,5,9,-25754,9026.8,-1094.6,62.95,-1.21
Canadian6E,5,10,96874,-33068,3943.2,-179.33,2.67
Canadian6E,5,11,-45377,20377,-2938.3,184.81,-3.81
Canadian6E,5,12,-139740,49356,-6030.5,320.54,-5.86
Childress2NNE,5,1,-6630.3,3750.4,-687.45,50.52,-1.22
Childress2NNE,5,2,4366.5,-4161.6,1407.3,-193.24,9.28
Childress2NNE,5,3,4481.2,-4610,1658.1,-240.86,12.11
Childress2NNE,5,4,710.23,-790.23,294.2,-38.21,1.56
Childress2NNE,5,5,-182.38,153.31,-62.94,18.38,-1.56
Childress2NNE,5,6,538.31,-505.08,142.13,-6.59,-0.58
Childress2NNE,5,7,-1454.4,1600.2,-652.71,118.69,-7.33
Childress2NNE,5,8,-532.64,582.48,-249.06,51.36,-3.43
Childress2NNE,5,9,1226.4,-1154.2,365.65,-40.53,1.44
Childress2NNE,5,10,-362.48,352.54,-147.03,33.17,-2.3
Childress2NNE,5,11,-1247.4,856.44,-216.11,29.76,-1.45
Childress2NNE,5,12,-187.63,-314.14,190.43,-25.11,1
Clarendon2WSW,5,1,763.24,-993.84,415.58,-62.68,3.11
Clarendon2WSW,5,2,4017.7,-4119,1544.2,-243.24,13.59
Clarendon2WSW,5,3,5452.9,-5516.7,2020.8,-310.02,16.86
Clarendon2WSW,5,4,519.03,-335.1,26.04,19.38,-2.38
Clarendon2WSW,5,5,-1250.8,1253.4,-464.87,78.72,-4.59
Clarendon2WSW,5,6,741.18,-691.88,207.78,-17.92,0.31
Clarendon2WSW,5,7,141.33,-63.29,-28.23,18.69,-1.56
Clarendon2WSW,5,8,537.61,-406.74,85.6,1.72,-0.66
Clarendon2WSW,5,9,-543.65,573.74,-233.61,46.36,-3.05
Clarendon2WSW,5,10,-173.78,174.75,-80.05,21.9,-1.72
Clarendon2WSW,5,11,-4760.8,3507,-929.71,110.97,-4.89
Clarendon2WSW,5,12,-185.57,27.91,25.4,-1.02,-0.22
Claude12SW,5,1,1908.6,-1082.2,97.65,36.48,-4.87
Claude12SW,5,2,4111.2,-2767.4,668.96,-62,1.67
Claude12SW,5,3,-1083.5,2961.6,-1595.6,318.93,-21.41
Claude12SW,5,4,-800.29,460.13,-98.97,16.61,-1.03
Claude12SW,5,5,365.35,-244.95,47.03,1.08,-0.25
Claude12SW,5,6,-675.25,698.49,-278.07,55.2,-4.07
Claude12SW,5,7,-395.32,409.36,-159.38,31.15,-2.04
Claude12SW,5,8,-643.1,824.71,-382.78,79.07,-5.48
Claude12SW,5,9,-2083.4,1878.3,-598.62,83.08,-4.04
Claude12SW,5,10,-8617.9,7031.8,-2105,280.21,-13.81
Claude12SW,5,11,-5715.8,4735.2,-1401.1,179.78,-8.11
Claude12SW,5,12,137880,-98739,26268,-3064.7,132.15
Coyanosa2N,5,1,-205.26,-41.51,66.69,-8.46,0.33
Coyanosa2N,5,2,3258.7,-2418,649.2,-67.45,2.35
Coyanosa2N,5,3,-4447.1,3507.1,-1008.2,130.65,-6.1
Coyanosa2N,5,4,1300,685.84,-501.96,90.02,-4.52
Coyanosa2N,5,5,-1083.7,1063.5,-372.79,56.63,-2.48
Coyanosa2N,5,6,-1807.4,1212.3,-308.97,40.16,-1.63
Coyanosa2N,5,7,-162.8,208.93,-97.09,21.17,-0.93
Coyanosa2N,5,8,-21328,12187,-2551.6,237.03,-7.73
Coyanosa2N,5,9,-1517,1460.1,-503.74,74.83,-3.24
Coyanosa2N,5,10,-1861,1281.7,-316.54,37.46,-1.38
Coyanosa2N,5,11,-1685,1031.6,-223.57,25.46,-0.88
Coyanosa2N,5,12,-1949,645.13,-5.54,-5.62,0.24
DenverCity7WNW,5,1,-3588.9,2985.6,-886.78,115.68,-5.43
DenverCity7WNW,5,2,-1427.9,1206,-372.42,54.97,-3.02
DenverCity7WNW,5,3,-92.86,336.04,-202.8,47.26,-3.24
DenverCity7WNW,5,4,-1109.9,1183.8,-465.63,81.07,-4.42
DenverCity7WNW,5,5,-649.24,657.5,-240.01,39.99,-2.04
DenverCity7WNW,5,6,378.38,-165.19,-26.74,21.55,-1.72
DenverCity7WNW,5,7,-119.91,189.28,-100.6,23.81,-1.35
DenverCity7WNW,5,8,147.23,40.78,-87.79,27.04,-1.57
DenverCity7WNW,5,9,-714.02,698.58,-249.93,41.74,-2.24
DenverCity7WNW,5,10,318.55,-92.22,-59.51,28.26,-2.26
DenverCity7WNW,5,11,1523.1,-956.48,160.68,4.12,-1.17
DenverCity7WNW,5,12,-5993.9,4693,-1312.2,158.82,-6.76
Dimmitt2NE,5,1,2248.8,-1595,355.51,-21.48,0.25
Dimmitt2NE,5,2,1584.5,-1178.6,279.81,-18.99,0.35
Dimmitt2NE,5,3,634.35,-425,82.24,0.25,-0.2
Dimmitt2NE,5,4,259.91,-171.09,20.66,5.6,-0.08
Dimmitt2NE,5,5,-11.61,10.72,-6.87,4.31,-0.04
Dimmitt2NE,5,6,23.23,-27.31,6.51,2.74,-0.05
Dimmitt2NE,5,7,21.27,-8.12,-7.46,5.54,-0.14
Dimmitt2NE,5,8,-35.09,67.2,-43.65,11.77,-0.17
Dimmitt2NE,5,9,265.73,-230.25,56.3,-0.64,0.12
Dimmitt2NE,5,10,137.16,-102.71,15.5,4.1,-0.04
Dimmitt2NE,5,11,-274.75,97.81,-1.18,2.28,0.02
Dimmitt2NE,5,12,8609.9,-5904.3,1394.5,-125.08,3.7
DoraNM2SW,5,1,-48286,27708,-5794.3,530.63,-17.75
